Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,FAS-103,10298,[Vulnerability] Docker container không nên chạy bằng user root (privileged) - docker:S6471,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,23/Jun/26 3:20 AM,24/Jun/26 6:03 PM,
Bug,FAS-102,10297,"[Code Smell] Định nghĩa constant thay vì lặp lại literal ""/orders"" trong routes/api.php",Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,23/Jun/26 2:42 AM,24/Jun/26 6:03 PM,
Bug,FAS-101,10296,"[Code Smell] Định nghĩa constant thay vì lặp lại literal ""/products/{id}"" trong routes/api.php",Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Medium,Done,Done,23/Jun/26 2:41 AM,23/Jun/26 3:47 AM,
Bug,FAS-100,10295,"[Code Smell] Định nghĩa constant thay vì lặp lại literal ""/products"" trong routes/api.php",Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Medium,Done,Done,23/Jun/26 2:39 AM,23/Jun/26 3:47 AM,
Bug,FAS-99,10294,"[Code Smell] Định nghĩa constant thay vì lặp lại literal ""logs/laravel.log"" trong config/logging.php",Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,23/Jun/26 2:35 AM,24/Jun/26 6:04 PM,
Bug,FAS-98,10293,"[Code Smell] Định nghĩa constant thay vì lặp lại literal ""127.0.0.1"" trong config/database.php",Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Medium,Done,Done,23/Jun/26 2:07 AM,24/Jun/26 6:03 PM,
Bug,FAS-97,10292,API xóa sản phẩm khỏi giỏ hàng không trả về deleted_cart_id. (delete_cart),Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,19/Jun/26 8:56 PM,20/Jun/26 12:56 AM,23/Jun/26 12:00 AM
Bug,FAS-96,10291,API viết đánh giá sản phẩm không trả về trường rating_text.(write_product),baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,19/Jun/26 8:40 PM,19/Jun/26 11:09 PM,23/Jun/26 12:00 AM
Bug,FAS-95,10290,API xem đánh giá sản phẩm không trả về trường review_date cho từng đánh giá. (review_product),Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,19/Jun/26 8:31 PM,20/Jun/26 12:24 AM,23/Jun/26 12:00 AM
Bug,FAS-94,10289,API cập nhật số lượng sản phẩm trong giỏ hàng không trả về tổng tiền sau khi cập nhật. (update_cart),Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,19/Jun/26 8:06 PM,19/Jun/26 10:37 PM,23/Jun/26 12:00 AM
Bug,FAS-93,10288,Giỏ hàng hiển thị sản phẩm có số lượng không hợp lệ (≤ 0). (review_cart),Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Medium,Done,Done,19/Jun/26 7:58 PM,20/Jun/26 1:08 AM,23/Jun/26 12:00 AM
Bug,FAS-92,10287,(Logout) API đăng xuất không trả về trường status,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,19/Jun/26 6:25 PM,20/Jun/26 12:00 AM,23/Jun/26 12:00 AM
